FileName :   STAP01_13G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol10 
Comment :   
Analysis Date :  09/11/2013 13:53:17 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 13489 Y = 27149 Z = 62 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
20 / 1 . 	0.6369	0.4333	0.0103	0.5622	0.0255	0.0431	0.0125	0.0179	0.0249	0.0236		6351.	32022.	54.	STAP01_13G(B)_ol7	3031.72	 20	09/11/2013 12:27:52	
21 / 1 . 	0.6349	0.4323	0.0102	0.5496	0.0251	0.0458	0.0123	0.0189	0.0255	0.0242		6528.	32056.	53.	STAP01_13G(B)_ol7	2955.58	 21	09/11/2013 12:36:24	
22 / 1 . 	0.6514	0.4366	0.0100	0.5227	0.0257	0.0425	0.0129	0.0176	0.0254	0.0258		5234.	28977.	44.	STAP01_13G(B)_ol8	6270.38	 22	09/11/2013 12:44:55	
23 / 1 . 	0.6506	0.4341	0.0101	0.5301	0.0251	0.0440	0.0124	0.0172	0.0239	0.0252		5234.	28667.	43.	STAP01_13G(B)_ol8	6565.93	 23	09/11/2013 12:53:29	
24 / 1 . 	0.6458	0.4362	0.0104	0.5232	0.0256	0.0422	0.0121	0.0168	0.0242	0.0249		5269.	28410.	40.	STAP01_13G(B)_ol8	6802.07	 24	09/11/2013 13:02:01	
25 / 1 . 	0.6635	0.4364	0.0101	0.4976	0.0252	0.0443	0.0124	0.0182	0.0237	0.0248		8936.	27693.	53.	STAP01_13G(B)_ol9	7460.05	 25	09/11/2013 13:10:32	
26 / 1 . 	0.6559	0.4378	0.0098	0.5065	0.0256	0.0470	0.0123	0.0180	0.0240	0.0244		8936.	27367.	49.	STAP01_13G(B)_ol9	7777.17	 26	09/11/2013 13:19:05	
27 / 1 . 	0.6591	0.4371	0.0101	0.5013	0.0257	0.0442	0.0128	0.0181	0.0248	0.0254		8676.	27367.	51.	STAP01_13G(B)_ol9	7722.28	 27	09/11/2013 13:27:36	
28 / 1 . 	0.6613	0.4363	0.0111	0.5039	0.0265	0.0440	0.0124	0.0173	0.0236	0.0242		13232.	27260.	59.	STAP01_13G(B)_ol10	9784.97	 28	09/11/2013 13:36:10	
29 / 1 . 	0.6621	0.4370	0.0101	0.5017	0.0263	0.0469	0.0126	0.0178	0.0244	0.0247		13232.	26998.	59.	STAP01_13G(B)_ol10	9991.95	 29	09/11/2013 13:44:44	
30 / 1 . 	0.6573	0.4371	0.0105	0.4899	0.0256	0.0446	0.0126	0.0176	0.0235	0.0244		13489.	27149.	62.	STAP01_13G(B)_ol10	10032.2	 30	09/11/2013 13:53:17	
31 / 1 . 	0.6516	0.4370	0.0100	0.5136	0.0258	0.0400	0.0124	0.0176	0.0252	0.0245		16746.	25650.	61.	STAP01_13G(B)_ol11	13342.51	 31	09/11/2013 14:01:51	
32 / 1 . 	0.6501	0.4372	0.0097	0.5087	0.0259	0.0410	0.0124	0.0178	0.0248	0.0246		16759.	25423.	62.	STAP01_13G(B)_ol11	13510.78	 32	09/11/2013 14:10:23	
33 / 1 . 	0.6549	0.4360	0.0107	0.5192	0.0260	0.0461	0.0127	0.0181	0.0247	0.0248		16795.	25183.	60.	STAP01_13G(B)_ol11	13706.17	 33	09/11/2013 14:18:58	
34 / 1 . 	0.6576	0.4391	0.0106	0.5113	0.0249	0.0465	0.0125	0.0173	0.0239	0.0241		21154.	25183.	67.	STAP01_13G(B)_ol12	17052.01	 34	09/11/2013 14:27:33	
35 / 1 . 	0.6560	0.4377	0.0102	0.5050	0.0247	0.0429	0.0124	0.0179	0.0238	0.0242		21241.	25089.	67.	STAP01_13G(B)_ol12	17177.17	 35	09/11/2013 14:36:04	
36 / 1 . 	0.6552	0.4368	0.0105	0.5133	0.0260	0.0430	0.0125	0.0179	0.0245	0.0247		21348.	25026.	68.	STAP01_13G(B)_ol12	17300.95	 36	09/11/2013 14:44:35	
37 / 1 . 	0.6240	0.4306	0.0106	0.5867	0.0257	0.0425	0.0127	0.0187	0.0265	0.0241		23516.	26154.	74.	STAP01_13G(B)_ol13	18558.11	 37	09/11/2013 14:53:14	
38 / 1 . 	0.6243	0.4322	0.0102	0.5909	0.0264	0.0398	0.0131	0.0184	0.0263	0.0242		23516.	26067.	74.	STAP01_13G(B)_ol13	18599.46	 38	09/11/2013 15:01:48	
39 / 1 . 	0.6243	0.4315	0.0095	0.5873	0.0260	0.0422	0.0126	0.0185	0.0261	0.0239		23089.	26067.	74.	STAP01_13G(B)_ol13	18225.33	 39	09/11/2013 15:10:23	
40 / 1 . 	0.6621	0.4397	0.0103	0.4718	0.0257	0.0440	0.0124	0.0172	0.0231	0.0250		21084.	21956.	56.	STAP01_13G(B)_ol14	19031.81	 40	09/11/2013 15:18:57	
41 / 1 . 	0.6747	0.4404	0.0101	0.4801	0.0261	0.0437	0.0126	0.0181	0.0243	0.0255		21084.	21767.	59.	STAP01_13G(B)_ol14	19161.25	 41	09/11/2013 15:27:23	
42 / 1 . 	0.6697	0.4407	0.0102	0.4698	0.0256	0.0452	0.0125	0.0173	0.0235	0.0248		20994.	21493.	59.	STAP01_13G(B)_ol14	19286.05	 42	09/11/2013 15:35:53	
43 / 1 . 	0.6672	0.4387	0.0104	0.4929	0.0257	0.0432	0.0124	0.0179	0.0241	0.0242		17196.	22248.	55.	STAP01_13G(B)_ol15	16175.07	 43	09/11/2013 15:44:25	
44 / 1 . 	0.6631	0.4392	0.0108	0.4829	0.0259	0.0423	0.0129	0.0183	0.0241	0.0246		17196.	21942.	52.	STAP01_13G(B)_ol15	16416.29	 44	09/11/2013 15:53:00	
45 / 1 . 	0.6623	0.4395	0.0096	0.4905	0.0252	0.0442	0.0130	0.0177	0.0244	0.0243		17017.	21942.	51.	STAP01_13G(B)_ol15	16307.59	 45	09/11/2013 16:01:34	
46 / 1 . 	0.6198	0.4305	0.0111	0.5868	0.0257	0.0420	0.0123	0.0184	0.0252	0.0224		12690.	22753.	46.	STAP01_13G(B)_ol16	13379.76	 46	09/11/2013 16:10:02	
47 / 1 . 	0.6244	0.4304	0.0115	0.5927	0.0256	0.0408	0.0123	0.0182	0.0258	0.0229		12690.	22987.	49.	STAP01_13G(B)_ol16	13166.95	 47	09/11/2013 16:18:29	
48 / 1 . 	0.6233	0.4297	0.0107	0.5853	0.0259	0.0426	0.0128	0.0190	0.0263	0.0236		12690.	23604.	48.	STAP01_13G(B)_ol16	12609.44	 48	09/11/2013 16:27:01	
49 / 1 . 	0.6546	0.4358	0.0106	0.5111	0.0251	0.0407	0.0129	0.0180	0.0245	0.0247		7969.	23747.	37.	STAP01_13G(B)_ol17	11222.5	 49	09/11/2013 16:35:30	
50 / 1 . 	0.6517	0.4371	0.0102	0.5141	0.0255	0.0442	0.0128	0.0180	0.0249	0.0250		7875.	23582.	36.	STAP01_13G(B)_ol17	11380.88	 50	09/11/2013 16:44:01	
51 / 1 . 	0.6593	0.4388	0.0100	0.4967	0.0254	0.0410	0.0124	0.0177	0.0237	0.0244		7875.	23007.	38.	STAP01_13G(B)_ol17	11954.82	 51	09/11/2013 16:52:31	
52 / 1 . 	0.6522	0.4368	0.0102	0.4984	0.0257	0.0449	0.0129	0.0182	0.0242	0.0254		7806.	19818.	26.	STAP01_13G(B)_ol18	15136.4	 52	09/11/2013 17:01:02	
53 / 1 . 	0.6544	0.4354	0.0101	0.5047	0.0260	0.0435	0.0133	0.0185	0.0247	0.0257		7653.	19576.	23.	STAP01_13G(B)_ol18	15372.63	 53	09/11/2013 17:09:33	
54 / 1 . 	0.6569	0.4376	0.0102	0.5025	0.0252	0.0455	0.0127	0.0188	0.0238	0.0253		8086.	19576.	26.	STAP01_13G(B)_ol18	15392.32	 54	09/11/2013 17:18:00	
55 / 1 . 	0.6480	0.4362	0.0101	0.5299	0.0257	0.0442	0.0126	0.0184	0.0255	0.0255		10906.	19576.	34.	STAP01_13G(B)_ol19	15812.7	 55	09/11/2013 17:26:39	
56 / 1 . 	0.6523	0.4362	0.0103	0.5347	0.0265	0.0447	0.0127	0.0183	0.0251	0.0248		10906.	19786.	34.	STAP01_13G(B)_ol19	15608.73	 56	09/11/2013 17:35:15	
57 / 1 . 	0.6492	0.4353	0.0102	0.5234	0.0251	0.0408	0.0129	0.0185	0.0248	0.0250		10906.	20066.	33.	STAP01_13G(B)_ol19	15337.01	 57	09/11/2013 17:43:53	
58 / 1 . 	0.6521	0.4367	0.0103	0.5145	0.0257	0.0444	0.0125	0.0178	0.0241	0.0249		13334.	19532.	40.	STAP01_13G(B)_ol20	16596.16	 58	09/11/2013 17:52:24	
59 / 1 . 	0.6552	0.4363	0.0107	0.5125	0.0263	0.0449	0.0125	0.0176	0.0241	0.0253		13320.	19377.	40.	STAP01_13G(B)_ol20	16735.02	 59	09/11/2013 18:00:51	
60 / 1 . 	0.6515	0.4364	0.0100	0.5144	0.0258	0.0433	0.0128	0.0181	0.0242	0.0257		13148.	19228.	36.	STAP01_13G(B)_ol20	16811.76	 60	09/11/2013 18:09:22	
61 / 1 . 	0.6216	0.4296	0.0101	0.5949	0.0256	0.0419	0.0126	0.0179	0.0261	0.0238		16460.	18661.	40.	STAP01_13G(B)_ol21	18744.14	 61	09/11/2013 18:17:57	
62 / 1 . 	0.6191	0.4293	0.0109	0.5997	0.0257	0.0437	0.0126	0.0175	0.0263	0.0240		16528.	18516.	41.	STAP01_13G(B)_ol21	18903.79	 62	09/11/2013 18:26:30	
63 / 1 . 	0.6220	0.4317	0.0104	0.5969	0.0260	0.0423	0.0125	0.0181	0.0264	0.0244		16506.	18255.	40.	STAP01_13G(B)_ol21	19120.25	 63	09/11/2013 18:35:05	
64 / 1 . 	0.6416	0.4349	0.0106	0.5339	0.0250	0.0445	0.0129	0.0182	0.0250	0.0251		19453.	18750.	44.	STAP01_13G(B)_ol22	20322.91	 64	09/11/2013 18:43:32	
65 / 1 . 	0.6432	0.4358	0.0101	0.5351	0.0261	0.0433	0.0129	0.0183	0.0254	0.0251		19453.	18511.	45.	STAP01_13G(B)_ol22	20513.83	 65	09/11/2013 18:52:08	
66 / 1 . 	0.6413	0.4346	0.0101	0.5367	0.0259	0.0441	0.0132	0.0187	0.0259	0.0253		19373.	18196.	43.	STAP01_13G(B)_ol22	20719.76	 66	09/11/2013 19:00:44	
